,PDB code,Resolution (A),Bnet
56881,1J9W,2.5,1.175195672
56882,3EZR,1.9,1.17518968
56883,3L5U,1.9,1.175184501
56884,3EGY,2.18,1.17518119
56885,1XBV,1.66,1.175163586
56886,5IT2,1.7,1.175158948
56887,3RQ0,2.02,1.175153204
56888,5K5C,1.85,1.175130894
56889,6PX4,1.65,1.175125605
56890,6TPR,3.2,1.175115535
56891,2FGK,2.7,1.175091599
56892,1JWY,2.32,1.17508716
56893,3PNG,1.88,1.175082068
56894,5G5M,2.07,1.175070777
56895,6PA2,1.9,1.175070364
56896,1YM2,2.05,1.175039305
56897,4MOC,2.5,1.175018242
56898,2FN8,2.1,1.17500495
56899,2GET,2.35,1.174999521
56900,2F89,2.6,1.174988831
56901,2X18,1.46,1.174969364
56902,6BLF,2.11,1.174943595
56903,3PC3,1.55,1.17490301
56904,6SJM,2.52,1.174887117
56905,3G7U,1.75,1.174876838
56906,6MGK,2.1,1.174851864
56907,3P5W,2.2,1.174847108
56908,6N6M,2.79,1.174822417
56909,5R9I,1.81,1.174801147
56910,6V1V,3.19,1.174781377
56911,6IEA,2.0,1.17477742
56912,1NF5,1.99,1.174760775
56913,6PN3,1.8,1.174754031
56914,6OIN,1.7,1.17475242
56915,4W6Q,2.55,1.174721347
56916,3VHJ,1.9,1.174691254
56917,1XUV,2.1,1.17468455
56918,4BO2,1.9,1.174663594
56919,4XSA,2.2,1.174657862
56920,2FXF,2.0,1.17464897
56921,5IV4,1.79,1.174642448
56922,5JY3,2.4,1.174632116
56923,2GJT,2.15,1.174631606
56924,6ADJ,2.18,1.174613311
56925,6SPV,2.04,1.174592744
56926,5XV3,2.55,1.174529786
56927,6LNW,2.9,1.174529338
56928,4PYZ,2.84,1.174483385
56929,4L9F,2.5,1.174475969
56930,2Z4X,1.9,1.174455007
56931,6KRP,1.89,1.174420963
56932,2XYV,2.06,1.174407499
56933,5J1B,2.5,1.174401086
56934,1MMM,2.2,1.174400528
56935,6UI1,2.2,1.174397719
56936,3EEE,2.12,1.174382838
56937,6PHG,2.0,1.174380562
56938,2QW4,2.8,1.174363127
56939,6GDQ,1.86,1.174350015
56940,5FP7,2.0,1.174335481
56941,3FUI,2.2,1.17433044
56942,3INR,2.29,1.174324027
56943,5OUP,2.03,1.174319055
56944,3ONG,2.3,1.174309897
56945,6GGU,2.6,1.174301886
56946,4QZV,2.59,1.174296097
56947,4BUI,1.95,1.174289621
56948,4COL,1.96,1.174257274
56949,6QVZ,2.71,1.174241663
56950,6PNA,1.95,1.174223189
56951,1AYZ,2.6,1.17422026
56952,4MV5,1.9,1.174205132
56953,1J9M,1.57,1.174198953
56954,5N3D,1.77,1.174192857
56955,6IGV,3.0,1.174175296
56956,3SN7,1.82,1.174171431
56957,1P6M,2.2,1.174141401
56958,2JC6,2.3,1.174119659
56959,1GD8,2.3,1.17411292
56960,3QEK,2.0,1.174097183
56961,5KSI,1.8,1.174090061
56962,5FE5,2.12,1.174070513
56963,5U3J,2.74,1.174057026
56964,3E5A,2.3,1.174049665
56965,2EX1,2.0,1.174046938
56966,4M2K,2.0,1.174018701
56967,7BXG,2.7,1.174018562
56968,5U99,2.4,1.174015363
56969,5XCN,1.69,1.174011462
56970,5C4H,1.8,1.173977485
56971,2Y3S,1.67,1.173968253
56972,5MYC,1.33,1.173967118
56973,1XVE,2.4,1.173963028
56974,4DVH,2.23,1.173959327
56975,4L0I,2.3,1.17393598
56976,2D1Z,1.6,1.173928637
56977,6CT2,2.13,1.173910239
56978,2CQS,2.0,1.1738814
56979,4YKG,2.4,1.173855186
56980,5TTK,2.51,1.173844281
56981,3ZKK,2.2,1.173814303
56982,6ED7,2.43,1.173799801
56983,6FIO,1.99,1.173793655
56984,4F9E,2.75,1.173785515
56985,1N8Y,2.39,1.17377804
56986,2OX7,1.78,1.173738093
56987,4BQX,1.79,1.173700836
56988,3GZN,3.0,1.173698204
56989,6CWE,2.2,1.173697258
56990,1O7P,1.95,1.17367419
56991,6KGA,3.3,1.17367106
56992,1HM9,1.75,1.173656999
56993,6D63,2.3,1.173643103
56994,2GDV,2.0,1.173631359
56995,4O50,1.95,1.173617956
56996,2D5J,1.6,1.173598687
56997,5BYV,2.16,1.173591796
56998,5U4Q,1.5,1.173570075
56999,6OVM,1.56,1.173553694
57000,4MV7,1.73,1.173539197
57001,2G4R,1.92,1.173536978
57002,2PND,0.97,1.173507811
57003,6DHZ,2.8,1.173507189
57004,5FNC,2.2,1.173502366
57005,3V9T,1.6,1.173479012
57006,6C25,1.9,1.173474631
57007,5WEB,2.25,1.173462423
57008,6VSI,1.87,1.173459516
57009,3WND,1.55,1.173455195
57010,5YY3,2.3,1.173443658
57011,6X49,2.74,1.173416105
57012,6TVR,2.63,1.173412551
57013,6I2A,1.75,1.17339707
57014,1B89,2.5,1.173377354
57015,6BFW,1.84,1.173376578
57016,2A0C,1.95,1.173369207
57017,2Z25,1.87,1.173361728
57018,2GG5,2.12,1.173359406
57019,2QX3,2.0,1.17334524
57020,3S01,2.15,1.173327249
57021,4U6S,2.1,1.173322641
57022,5X9M,0.93,1.173317313
57023,2FOO,2.05,1.173311206
57024,1WOS,1.84,1.173310861
57025,3I5N,2.0,1.173269838
57026,3R0T,1.75,1.173255736
57027,4IU1,1.95,1.173233065
57028,4DA7,2.05,1.173195341
57029,4ZY8,2.14,1.173183967
57030,3ZTE,2.41,1.173166024
57031,4HL6,2.12,1.173164122
57032,5X2J,1.4,1.17315997
57033,4MAN,2.07,1.173143614
57034,4Z24,2.0,1.173119739
57035,6ECR,2.2,1.17311674
57036,1P4N,1.9,1.1730953
57037,6FXI,2.6,1.173092051
57038,5MLS,1.62,1.173076638
57039,5L95,2.1,1.173061923
57040,6B57,1.93,1.173045598
57041,6GAP,2.15,1.173033497
57042,4WHA,1.7,1.173031554
57043,1N4P,2.65,1.173016885
57044,1SQ6,2.4,1.172957009
57045,2Y1C,1.9,1.1729464
57046,6TR3,1.7,1.172868548
57047,3E1N,2.8,1.172868433
57048,2Y70,2.3,1.172848581
57049,3CRV,2.0,1.172838835
57050,6H57,2.3,1.172829074
57051,3F75,1.99,1.172814108
57052,2RH9,1.7,1.172812083
57053,4RH5,1.6,1.172804295
57054,3O16,2.11,1.17279558
57055,1LUA,1.91,1.172794049
57056,3T2F,1.9,1.172791055
57057,6LR6,3.01,1.172784498
57058,1IZO,2.1,1.172782418
57059,4XHM,1.95,1.172779002
57060,5U25,2.3,1.172766131
57061,2DKE,2.5,1.172766071
57062,3MMV,2.8,1.17270487
57063,5Y16,2.4,1.172686589
57064,4LKR,2.4,1.172680534
57065,5PMN,1.72,1.172660247
57066,4RJJ,2.34,1.172659906
57067,6P3A,2.99,1.172649242
57068,4CAI,2.2,1.172643052
57069,5YWW,2.33,1.172636248
57070,3IRZ,1.7,1.172631389
57071,2DVA,2.19,1.172606721
57072,3VW7,2.2,1.172598091
57073,2ZYG,2.1,1.172592784
57074,3K0Z,1.91,1.172580509
57075,4Z0R,1.75,1.172570306
57076,2RCS,2.1,1.172569146
57077,4U79,2.23,1.172564813
57078,5Y65,2.55,1.172550391
57079,6LCH,1.9,1.172543954
57080,5VIU,1.65,1.172531613
57081,6PWI,2.65,1.172530601
57082,6HVY,2.7,1.172512244
57083,6K0Q,1.56,1.172491673
57084,6CYW,1.95,1.172475919
57085,2QAK,2.2,1.172473097
57086,5JHF,3.21,1.172460806
57087,4N34,1.75,1.17244681
57088,2FY6,1.85,1.172431031
57089,1P6X,2.0,1.172426396
57090,3OI7,2.4,1.172397241
57091,4TV7,2.05,1.172394399
57092,6I4M,1.87,1.172391272
57093,4GUA,2.85,1.172384448
57094,5L8Z,1.4,1.172383897
57095,2AQ9,1.68,1.172380997
57096,2EVM,1.7,1.172372118
57097,5BO2,2.0,1.172349171
57098,1RB7,2.1,1.172347608
57099,1WLT,1.9,1.172343397
57100,3MTS,2.2,1.172337984
57101,2P9T,2.03,1.172330057
57102,6TE6,1.98,1.172316281
57103,5UW7,2.37,1.172281555
57104,1ST8,2.35,1.172273354
57105,4EA9,0.9,1.172257785
57106,3L7K,3.1,1.172247805
57107,6ERC,2.5,1.172239142
57108,3VYD,2.81,1.172230331
57109,3P5I,1.8,1.172189403
57110,6HWA,2.8,1.17217778
57111,1OKC,2.2,1.172158602
57112,1NKN,2.5,1.172146929
57113,4ONY,2.1,1.172146427
57114,1KQY,1.92,1.172135722
57115,2Z1V,1.55,1.17212291
57116,5IEZ,2.39,1.172106805
57117,6FGA,2.82,1.172100994
57118,6PNB,2.05,1.172099645
57119,2VLD,2.6,1.172088373
57120,3EZW,2.0,1.172073964
57121,5K0D,1.82,1.17205523
57122,3AY7,1.9,1.172054667
57123,5NQ5,2.85,1.172054008
57124,1YY8,2.0,1.172047321
57125,5FLQ,1.7,1.172018925
57126,5YF9,1.89,1.172014816
57127,4EWQ,2.1,1.172001611
57128,3PI5,2.4,1.171985754
57129,6HBW,1.99,1.171960997
57130,4TSO,2.3,1.171959408
57131,2HWX,1.9,1.171956422
57132,4U2K,2.13,1.171942152
57133,4BC2,1.97,1.171937464
57134,4ERR,1.55,1.171933367
57135,2P4M,1.8,1.171927006
57136,1Z6D,1.54,1.171919391
57137,2P91,2.0,1.171915922
57138,3VRV,1.9,1.171895833
57139,6I9W,1.55,1.171893447
57140,5FYT,1.87,1.171884189
57141,3H9U,1.9,1.171881409
57142,4ZVS,2.5,1.171879118
57143,6P8S,2.0,1.171874164
57144,2ZX8,2.33,1.171862994
57145,7C50,1.93,1.171854177
57146,6RZE,1.69,1.171847394
57147,1LG9,2.0,1.171797806
57148,2UX4,2.51,1.17176325
57149,3O5J,1.7,1.171754969
57150,2IBM,3.2,1.171747549
57151,2WVY,2.26,1.171745876
57152,5AQZ,1.65,1.171742516
57153,3TXY,1.7,1.171738076
57154,4ZUT,2.51,1.171732814
57155,4OE9,1.55,1.171724149
57156,5EFF,2.23,1.171709353
57157,5PGO,1.88,1.171674777
57158,3GT4,1.76,1.171656602
57159,2YCQ,2.05,1.171647686
57160,1UUN,2.52,1.171644587
57161,6OS7,1.36,1.171640651
57162,1YP6,1.8,1.171602603
57163,5M0S,2.1,1.17159175
57164,6CCA,1.75,1.171591468
57165,4MG6,2.1,1.171572584
57166,3V4T,2.5,1.171566071
57167,5K6G,2.9,1.1715648
57168,2H31,2.8,1.171560173
57169,3GC2,1.85,1.171556537
57170,1YGG,1.85,1.171526024
57171,3QG2,2.2,1.171521187
57172,3BV9,1.8,1.171505667
57173,5UL3,1.8,1.171495075
57174,6FL3,2.36,1.171490615
57175,2I1N,1.84,1.171488028
57176,2OAX,2.29,1.171445435
57177,1P2Y,2.28,1.171440559
57178,6GUB,2.52,1.171410943
57179,5JDV,1.34,1.171408407
57180,4XEA,1.95,1.171370977
57181,2XUU,1.8,1.171368357
57182,6JCU,2.3,1.171356362
57183,3E7O,2.14,1.171330942
57184,6AR4,1.69,1.171316153
57185,4X6B,2.1,1.171295844
57186,6RJM,2.11,1.171272468
57187,3NKL,1.9,1.171270435
57188,5VP3,2.15,1.171239754
57189,4RIU,1.65,1.171211009
57190,4UR1,1.65,1.171207688
57191,3QOA,2.1,1.17120152
57192,4LI0,3.3,1.171183355
57193,5TW8,1.72,1.171168614
57194,3ALU,1.65,1.171152683
57195,5EVH,1.85,1.17112245
57196,2CD7,1.5,1.171117041
57197,1NB0,1.7,1.171102376
57198,5CHS,1.8,1.171100329
57199,1FZ8,2.1,1.171095645
57200,3D9Z,1.65,1.171072416
57201,5GSS,1.95,1.171065661
57202,6Q71,1.92,1.171060983
57203,6XCC,1.9,1.171057376
57204,3TKQ,2.2,1.171052005
57205,1G93,2.5,1.171045934
57206,5B0Q,2.3,1.171039944
57207,6G5G,2.0,1.171034215
57208,5E5Y,1.51,1.171028859
57209,4ZAO,1.8,1.171011582
57210,4NVM,1.51,1.170996591
57211,4G6O,2.2,1.170954255
57212,5FIO,2.1,1.170950973
57213,5DZD,1.57,1.170949284
57214,4B79,1.98,1.170933147
57215,4G7U,1.9,1.170927973
57216,4MHV,2.45,1.170889711
57217,5ENP,1.9,1.170860818
57218,3SZ9,2.1,1.170830407
57219,4HO1,1.86,1.170821494
57220,6A6R,2.61,1.170818751
57221,5GR0,1.95,1.170811142
57222,5A7Q,2.0,1.17076836
57223,4QBQ,2.41,1.170757311
57224,2E2R,1.6,1.170720913
57225,5JM4,2.34,1.170676036
57226,2CHG,2.1,1.170670998
57227,1L5V,2.0,1.170662801
57228,5JLJ,2.5,1.17065782
57229,5DHM,1.9,1.170656666
57230,5N2L,1.89,1.17063101
57231,4OT1,2.11,1.170613742
57232,1Z0E,2.05,1.170592186
57233,2EBF,1.9,1.170585508
57234,3HX8,1.45,1.170584186
57235,6ZDX,3.0,1.170550926
57236,5SUH,2.59,1.170542388
57237,5HSX,1.8,1.170541493
57238,3DZQ,1.75,1.170529397
57239,3E8R,1.9,1.170519262
57240,5PDB,1.8,1.170518893
57241,6FNM,1.16,1.170518089
57242,4A3S,2.22,1.170509693
57243,4FF7,1.86,1.170509255
57244,5ZV5,2.09,1.170507822
57245,4CDG,2.79,1.170505193
57246,4MCW,2.03,1.170496111
57247,6F3T,2.5,1.170491487
57248,1ZL2,1.85,1.170467902
57249,2ZB8,2.0,1.170452165
57250,6RNQ,1.95,1.170450987
57251,5CX0,2.5,1.17043846
57252,3G01,2.5,1.17042266
57253,2NNH,2.6,1.170422492
57254,6HBS,1.65,1.1704009
57255,2RHL,2.45,1.170387357
57256,4FHP,2.5,1.170378648
57257,5CQ6,1.97,1.170346818
57258,6SJY,2.2,1.170339354
57259,4O53,2.0,1.170314304
57260,3JU7,2.19,1.170308909
57261,1ZDE,1.95,1.1702704
57262,1SNK,2.39,1.170269073
57263,1U3Y,1.9,1.170261727
57264,4NCZ,1.89,1.170253876
57265,1NLI,1.93,1.170243878
57266,3NQ9,1.9,1.170241975
57267,4QX7,2.34,1.17021628
57268,3C04,2.2,1.170184449
57269,5VV1,1.95,1.170145705
57270,3QLJ,1.8,1.170138932
57271,5JIR,1.7,1.170125022
57272,3K2B,2.6,1.170119019
57273,1VJ5,2.25,1.170083499
57274,6BVB,2.0,1.170081846
57275,6HLO,2.4,1.170071147
57276,2VAG,1.8,1.170069078
57277,6QZS,1.9,1.170054756
57278,4LM3,1.49,1.170045378
57279,6ITM,2.5,1.1700408
57280,1LB1,2.81,1.170034623
57281,4BA1,1.8,1.170031756
57282,4DIQ,2.4,1.170019103
57283,5HCA,2.15,1.170013296
57284,2CO7,1.8,1.170000948
57285,4MH5,1.65,1.169989358
57286,1BEH,1.7,1.169976009
57287,4W5U,2.77,1.169971842
57288,4Y9L,2.27,1.169967388
57289,3Q7Z,1.87,1.169963627
57290,6DXC,1.54,1.169938836
57291,6OAP,1.97,1.169935423
57292,1N50,2.9,1.169933822
57293,5OTG,1.73,1.169908553
57294,4ILK,2.0,1.169892585
57295,5CXJ,2.38,1.169865474
57296,4JLA,2.12,1.169840338
57297,3I54,2.2,1.169833294
57298,1OLL,1.93,1.169824822
57299,6U65,2.09,1.169813183
57300,5K1P,1.5,1.169811723
57301,4P0B,2.7,1.16980585
57302,5JH9,2.1,1.169778328
57303,6PEU,1.95,1.169774013
57304,3TA2,1.9,1.169752933
57305,2VT2,2.3,1.169735946
57306,4FKC,2.5,1.169716768
57307,5QEZ,1.65,1.16971633
57308,4QLW,2.0,1.169716147
57309,5CUG,1.78,1.169696067
57310,3OKS,1.8,1.169692848
57311,6WH9,2.75,1.16969114
57312,1XR9,1.79,1.169689261
57313,6LGD,1.75,1.169681501
57314,3CLU,1.8,1.169650997
57315,4ZMQ,2.2,1.169647115
57316,1ZCB,2.0,1.169634972
57317,5TYQ,2.16,1.169631459
57318,4OA4,1.6,1.169630183
57319,5I5T,2.31,1.169621524
57320,4KVD,2.4,1.169618155
57321,5QQQ,1.93,1.169613651
57322,6V9U,2.65,1.16960411
57323,4AEX,2.29,1.16960116
57324,2AN9,2.35,1.169595872
57325,5EJ6,2.19,1.169591499
57326,6NHQ,2.5,1.169581838
57327,5LE6,1.8,1.169555919
57328,1TZ6,2.7,1.169551136
57329,5VL2,1.81,1.169539844
57330,3JWE,2.7,1.169536069
57331,4JR2,1.65,1.169513374
57332,5QG8,1.63,1.169509376
57333,4QQ3,1.72,1.16947223
57334,5NV1,1.51,1.169452825
57335,6PIB,2.26,1.169444372
57336,2XTM,1.7,1.169417975
57337,3LCX,1.98,1.169411805
57338,3WSR,1.91,1.169404648
57339,6TKZ,2.64,1.169403303
57340,2IOL,2.0,1.169395167
57341,6JO1,2.1,1.169393134
57342,4J66,2.04,1.169368342
57343,3HMY,2.0,1.169344168
57344,5TZT,2.89,1.169281228
57345,6GHH,1.8,1.169258985
57346,2QBO,1.9,1.169254933
57347,4UMC,2.34,1.169249535
57348,2AF0,2.3,1.169211612
57349,3KFQ,1.99,1.169210432
57350,1IGZ,2.9,1.169207474
57351,4A7M,1.71,1.169193862
57352,3OS5,1.68,1.169155555
57353,3CIF,2.0,1.169153141
57354,2JB8,1.53,1.169143467
57355,2OHJ,2.26,1.169126744
57356,3TYL,1.9,1.169069671
57357,4PIS,2.1,1.169036331
57358,4RZB,1.86,1.169027934
57359,5KR5,2.1,1.169018054
57360,6FAA,1.97,1.169003143
57361,2HEV,2.41,1.168981688
57362,1LBW,2.0,1.168975627
57363,2PSZ,2.0,1.168965889
57364,3TEJ,1.9,1.168962392
57365,4PP9,2.58,1.168954189
57366,4CWD,1.9,1.168943174
57367,1SIO,1.8,1.168924255
57368,5DXY,1.77,1.168910952
57369,3VZP,1.79,1.168888457
57370,3IW0,1.6,1.168881342
57371,3O7P,3.2,1.168872394
57372,6PMC,2.19,1.168868268
57373,2IW8,2.3,1.168865948
57374,3TF1,2.04,1.168864554
57375,3C10,2.0,1.16884032
57376,2VLO,1.8,1.168839889
57377,6MJ9,1.85,1.168837395
57378,6RVF,2.07,1.168835725
57379,5QGA,1.65,1.168829714
57380,4RAA,2.6,1.168818238
57381,3KVL,1.85,1.1687927
57382,6STU,2.39,1.168790788
57383,3TYN,1.97,1.168785356
57384,5N9S,2.3,1.168754226
57385,2DQF,2.5,1.168733475
57386,2XTJ,2.7,1.168729325
57387,6FHZ,2.8,1.168726411
57388,3BAD,2.0,1.168697373
57389,6PJ2,2.1,1.168694331
57390,1IAS,2.91,1.168691313
57391,6AOV,1.75,1.168662368
57392,3DR2,1.58,1.168652579
57393,5HQL,2.53,1.168642894
57394,4MQJ,1.79,1.168615468
57395,6YEH,2.59,1.168613647
57396,3WIA,1.77,1.168612846
57397,6M76,1.4,1.1685924
57398,5WRT,2.35,1.168571858
57399,2GWH,1.8,1.168568432
57400,4ISC,2.78,1.168538067
57401,2PPY,2.16,1.168504283
57402,2GF7,2.15,1.168466149
57403,4COY,1.8,1.168452908
57404,4WOJ,2.44,1.168438871
57405,1PT6,1.87,1.168422989
57406,2VDV,2.3,1.168380404
57407,3I41,1.75,1.168364908
57408,4.00E+04,1.79,1.168350506
57409,3Q2J,2.15,1.168342578
57410,5D5T,2.4,1.16833601
57411,6VT3,1.84,1.168331962
57412,4FQQ,2.42,1.168319709
57413,4FDZ,1.8,1.16830136
57414,1YBX,1.71,1.16830107
57415,4KZQ,2.25,1.168299554
57416,6QZA,3.09,1.168298436
57417,3TQR,1.97,1.168293152
57418,6H2D,2.62,1.168291235
57419,2GSL,2.59,1.168286925
57420,5VD0,2.13,1.168239675
57421,3L02,2.3,1.16821223
57422,6QMI,1.78,1.168211072
57423,2RIX,1.75,1.168184173
57424,6A2O,2.35,1.168180908
57425,1HM5,1.8,1.168177449
57426,6Y2G,2.2,1.168174892
57427,5AGM,1.84,1.168174853
57428,5FQD,2.45,1.168164086
57429,1X09,1.86,1.168138656
57430,3ASK,2.9,1.168131643
57431,5FZF,1.97,1.16809786
57432,5IDU,1.95,1.168085475
57433,4PKV,2.5,1.168071667
57434,3AH4,1.78,1.168022002
57435,4WDW,1.94,1.168003424
57436,6YZ5,1.8,1.167974228
57437,4PLW,1.85,1.167959455
57438,6BJL,1.69,1.167949919
57439,5BUS,2.6,1.167949531
57440,3F7T,1.8,1.167919856
57441,1TZJ,1.99,1.167877147
57442,5DC5,1.94,1.167856953
57443,3A27,2.0,1.167856382
57444,4AKR,2.2,1.167854392
57445,4B9Z,2.0,1.16782014
57446,3EKZ,2.07,1.167790803
57447,5XLD,2.3,1.167776208
57448,2WEK,1.9,1.167776059
57449,3IO0,3.0,1.167773548
57450,4PW2,1.9,1.16774995
57451,4FHJ,2.6,1.167748803
57452,3NZ0,2.0,1.167741759
57453,6RFI,2.31,1.16772702
57454,3DZL,1.75,1.167723113
57455,2GI3,1.8,1.167722893
57456,3VPC,1.87,1.167703397
57457,1ULU,2.0,1.167674759
57458,5VEM,2.6,1.167669619
57459,2CB4,2.5,1.16765272
57460,3IQQ,2.01,1.167631559
57461,2I5Y,2.19,1.167631545
57462,3NFU,1.94,1.167630817
57463,6I4S,1.75,1.167595758
57464,3G2W,2.4,1.167594738
57465,3CSG,1.8,1.167556988
57466,1LY1,2.0,1.167522407
57467,1B5F,1.72,1.167506957
57468,5PN3,1.6,1.167480903
57469,4HJ3,2.64,1.167474378
57470,1MJT,2.4,1.167473926
57471,4D81,2.4,1.167470032
57472,3LE0,1.91,1.167469781
57473,4MP0,2.1,1.167467162
57474,3QD0,1.99,1.167443572
57475,1VQQ,1.8,1.167431318
57476,4NCG,2.58,1.167424681
57477,1IBT,2.6,1.167394037
57478,3K8O,2.39,1.167389644
57479,6IWQ,2.95,1.167388789
57480,3TEI,2.4,1.167386229
57481,2JLQ,1.67,1.167330536
57482,3V9P,1.9,1.167318352
57483,4WT3,1.95,1.167314552
57484,3OJG,1.6,1.167309833
57485,5PEU,1.9,1.167308125
57486,5L6E,1.9,1.167305332
57487,5SV7,3.21,1.167301027
57488,5A7N,2.39,1.16728582
57489,4W5H,1.96,1.167270543
57490,3DKH,2.4,1.167237311
57491,5F73,2.05,1.16720304
57492,2E0Y,2.02,1.167169583
57493,6XZ8,3.0,1.167156587
57494,5OUS,2.21,1.167124383
57495,6F8R,1.83,1.167108616
57496,6WW3,2.1,1.167107589
57497,4DWF,1.8,1.167089915
57498,1XUQ,1.8,1.167082548
57499,5F71,2.4,1.167040569
57500,3PGE,2.8,1.167009943
57501,6UAU,1.9,1.166963394
57502,2R2J,2.6,1.1669564
57503,2VS6,2.14,1.166951207
57504,4A4C,2.7,1.166935533
57505,1E6J,3.0,1.166922095
57506,5YRO,2.4,1.166916241
57507,4WB7,1.9,1.166916147
57508,3DY6,2.9,1.166911901
57509,6POK,1.8,1.166895611
57510,5FOB,2.6,1.166848123
57511,3M1G,2.1,1.166826447
57512,3V82,2.3,1.166809903
57513,5AK3,2.28,1.166809571
57514,4C5I,2.59,1.166782187
57515,1VE1,1.45,1.166772063
57516,7C1J,1.35,1.166750265
57517,1TH8,2.3,1.166732374
57518,2ZTD,2.4,1.16672943
57519,2XAN,2.2,1.166729055
57520,3AX6,2.2,1.166724685
57521,3AIX,2.9,1.166707065
57522,6HZN,2.41,1.16670388
57523,1VL5,1.85,1.166701224
57524,6FG0,1.74,1.166700974
57525,2PR9,2.51,1.166689696
57526,5U9N,2.4,1.166668772
57527,3AHO,1.88,1.166646451
57528,3GNC,2.15,1.166641593
57529,3G8Z,1.9,1.16663743
57530,4L5N,2.13,1.166620653
57531,4Z3L,2.5,1.166593928
57532,1HN0,1.9,1.166581438
57533,4K5N,1.91,1.166568734
57534,5X1I,1.9,1.166547174
57535,4ADT,2.42,1.166531801
57536,2J7V,1.9,1.166524267
57537,3NW4,2.0,1.166458946
57538,4QKV,3.0,1.166450996
57539,5XAX,2.9,1.166409944
57540,4CD3,2.19,1.166392067
57541,6N19,1.5,1.166384989
57542,1MP9,2.0,1.166372147
57543,6V6O,2.1,1.166371534
57544,3WH8,1.9,1.16634769
57545,6HKB,1.7,1.166347526
57546,3ONF,2.0,1.166327074
57547,6GZS,1.9,1.166320272
57548,2WTT,2.3,1.166319684
57549,4WCO,2.46,1.166319026
57550,6CJB,1.75,1.166310297
57551,5CYI,2.0,1.166308292
57552,5KF4,2.5,1.166303153
57553,4CHO,1.7,1.166282883
57554,3TZI,2.15,1.166280226
57555,2DFA,1.9,1.166279861
57556,3M94,2.05,1.166253071
57557,6MP9,1.89,1.166226456
57558,4EXS,2.4,1.166217396
57559,6QWV,2.47,1.166164129
57560,5AM2,1.7,1.16616229
57561,3VBA,2.0,1.166157484
57562,3O63,2.3,1.166143096
57563,4B7S,1.84,1.166140765
57564,3WS2,2.1,1.166120907
57565,5TK7,1.9,1.166083293
57566,5GHL,2.0,1.166079722
57567,4YM3,1.89,1.166067337
57568,4GGL,1.69,1.166062155
57569,3EQG,2.5,1.166056951
57570,5IKO,2.5,1.166044388
57571,5RL6,1.92,1.166018355
57572,1QY2,1.7,1.166001026
57573,3WJ2,1.61,1.165997683
57574,6VV3,2.4,1.16599653
57575,5PHT,1.83,1.165971313
57576,4P2V,2.43,1.16596681
57577,5SV2,1.31,1.165961705
57578,2O94,2.94,1.165931808
57579,3KLU,2.2,1.165915001
57580,4X1M,2.17,1.165907074
57581,5MJD,1.7,1.165903492
57582,4IGA,1.73,1.165888293
57583,3GWE,2.1,1.165879004
57584,6J63,2.62,1.165860141
57585,5AKX,2.09,1.165853707
57586,5M94,3.1,1.165833946
57587,5YHX,2.31,1.165817294
57588,2VMA,1.9,1.165807931
57589,5QZ7,1.48,1.16579721
57590,4RXJ,2.1,1.165794568
57591,6VLB,1.85,1.165766021
57592,1S8L,2.3,1.16576508
57593,4PFQ,2.09,1.165625474
57594,3NHS,1.78,1.16562481
57595,3O6V,1.7,1.165574713
57596,3GLD,2.03,1.165554272
57597,4H3F,1.7,1.165552295
57598,2A90,2.15,1.16554014
57599,5GJX,2.06,1.165495291
57600,2UYQ,1.8,1.1654674
57601,6FR7,2.31,1.165462686
57602,4Z15,1.6,1.165448061
57603,6JZC,2.2,1.165444342
57604,5ESN,2.35,1.165403851
57605,5HC4,2.0,1.165384738
57606,2DU8,2.5,1.165377608
57607,4FQF,2.28,1.165370975
57608,5CQ4,1.78,1.165369279
57609,3NID,2.3,1.165362013
57610,3KXX,3.19,1.165360721
57611,1Z5S,3.01,1.165351068
57612,2X1V,1.7,1.165344247
57613,4PMK,2.05,1.16532712
57614,4Y7S,2.0,1.165319055
57615,2YEM,2.3,1.165314975
57616,3ARL,1.81,1.165313593
57617,4A71,1.61,1.165299278
57618,4YA0,2.8,1.165291974
57619,1G42,1.8,1.165275555
57620,5OZ3,1.75,1.165241346
57621,5WFL,1.79,1.165233322
57622,4EHY,2.2,1.165231446
57623,5CD7,2.5,1.165211578
57624,5KNS,2.79,1.165204165
57625,2P1Q,1.91,1.165192763
57626,4M7O,2.02,1.165176055
57627,2R76,2.61,1.165173722
57628,6R39,2.55,1.165164505
57629,4FNI,1.8,1.165140891
57630,3TQZ,1.7,1.165137804
57631,4PEZ,1.9,1.165118913
57632,1I72,1.98,1.1651182
57633,4Z64,2.66,1.165116804
57634,3OHW,2.69,1.16511363
57635,2IM0,2.25,1.165090819
57636,4ZT4,2.3,1.165086852
57637,2VBP,1.5,1.165082448
57638,6G85,1.53,1.165078855
57639,3GIC,1.55,1.16507581
57640,3KCP,1.94,1.16505169
57641,5OO2,2.06,1.165033767
57642,1F12,2.4,1.165017879
57643,4P6X,2.38,1.165003446
57644,5C8U,3.4,1.164986959
57645,2XAM,2.2,1.164972706
57646,3SBT,1.8,1.164956417
57647,1JY8,2.5,1.164952854
57648,4XDY,1.54,1.164944279
57649,6BPW,2.43,1.164904469
57650,4URE,1.4,1.164885472
57651,6R4F,2.5,1.164880565
57652,4DQB,1.5,1.164879728
57653,5.00E+53,2.5,1.164853322
